open_time,high_kg,low_kg,close_kg,high_oz,low_oz,close_oz,ret
2015-12-31,33279.76,31208.16,33187.73,1035.12,970.68,1032.25,0.01945103755281319
2016-01-30,36512.46,32912.13,35945.2,1135.66,1023.68,1118.02,0.09712883530411953
2016-02-29,37434.06,34835.43,35291.7,1164.33,1083.5,1097.69,0.02524523184755978
2016-03-30,35950.86,34243.66,35829.43,1118.2,1065.1,1114.42,-0.03961935190195209
2016-04-29,36545.58,34839.65,35094.02,1136.69,1083.63,1091.55,0.016535503487748127
2016-05-29,40016.82,34734.86,38668.91,1244.66,1080.37,1202.74,0.09498631992891649
2016-06-28,40017.38,37854.79,38922.39,1244.68,1177.42,1210.62,1.6068645252609315e-05
2016-07-28,39396.86,37554.95,37936.39,1225.38,1168.09,1179.95,-0.015505993508371563
2016-08-27,38468.45,37731.98,38292.45,1196.5,1173.6,1191.03,-0.023568199252476885
2016-09-26,38362.59,35783.37,37640.9,1193.21,1112.99,1170.76,-0.002749686585875488
2016-10-26,38216.22,36007.87,36117.38,1188.66,1119.97,1123.38,-0.0038132432681590167
2016-11-25,36351.54,34671.06,35296.99,1130.66,1078.39,1097.86,-0.04879444079888273
2016-12-25,36500.51,35296.99,36381.76,1135.29,1097.86,1131.6,0.004094953390055167
2017-01-24,37933.62,35538.55,37693.33,1179.87,1105.37,1172.39,0.03926749993393752
2017-02-23,38322.45,36123.26,37028.22,1191.96,1123.56,1151.71,0.010246891606702668
2017-03-25,39261.14,36892.88,37675.42,1221.16,1147.5,1171.84,0.024497466357931597
2017-04-24,37878.85,35766.02,35980.58,1178.16,1112.45,1119.12,-0.035212420976776126
2017-05-24,37038.39,35820.44,36085.54,1152.02,1114.14,1122.39,-0.02218713926801119
2017-06-23,36222.38,33979.7,34598.23,1126.64,1056.89,1076.13,-0.02203086751966099
2017-07-23,35596.53,34178.42,35161.43,1107.18,1063.07,1093.64,-0.017272598168003972
2017-08-22,36247.73,34703.78,35167.98,1127.43,1079.41,1093.85,0.01828970899040816
2017-09-21,35632.0,34641.37,34941.97,1108.28,1077.47,1086.82,-0.01698553346992726
2017-10-21,35708.78,34682.45,35442.43,1110.67,1078.74,1102.38,0.002156494748619675
2017-11-20,35449.73,33856.38,34273.54,1102.61,1053.05,1066.03,-0.007256880981749925
2017-12-20,35517.44,34179.27,34897.58,1104.72,1063.09,1085.44,0.0019136412693518956
2018-01-19,35289.71,34307.79,34913.45,1097.63,1067.09,1085.93,-0.006417915851980482
2018-02-18,35014.14,34236.58,34326.84,1089.06,1064.88,1067.68,-0.0078077312026823
2018-03-20,35435.53,34225.52,35081.23,1102.17,1064.53,1091.15,0.012037904247699904
2018-04-19,35717.14,34776.03,35325.18,1110.93,1081.66,1098.74,0.00794795721168251
2018-05-19,36444.65,35109.29,35528.38,1133.56,1092.02,1105.06,0.020370320362218974
2018-06-18,35660.89,33741.48,33858.87,1109.18,1049.48,1053.13,-0.021507463213239597
2018-07-18,34256.69,32913.71,33227.99,1065.5,1023.73,1033.51,-0.03938044321029954
2018-08-17,33514.62,32961.3,33018.71,1042.42,1025.21,1027.0,-0.021661191928671886
2018-09-16,34239.0,32539.3,34055.27,1064.95,1012.09,1059.24,0.021613169355921835
2018-10-16,35156.44,33972.02,34419.19,1093.49,1056.65,1070.56,0.026799380252593874
2018-11-15,35370.37,34287.49,35222.26,1100.14,1066.46,1095.53,0.0060814456465081435
2018-12-15,36607.41,35071.79,36138.34,1138.62,1090.85,1124.03,0.03497736651698857
2019-01-14,37463.7,36105.74,37169.93,1165.25,1123.01,1156.11,0.023387960864906798
2019-02-13,38150.67,36413.83,36856.65,1186.62,1132.6,1146.37,0.01833941214331669
2019-03-15,37654.5,36670.52,36719.42,1171.19,1140.58,1142.1,-0.013003320355294723
2019-04-14,37265.04,36170.21,37260.61,1159.07,1125.02,1158.93,-0.01034844901339671
2019-05-14,38270.59,36610.05,37968.55,1190.35,1138.7,1180.95,0.02698715349374936
2019-06-13,40872.62,37941.94,40383.76,1271.28,1180.13,1256.08,0.06798840677111784
2019-07-13,43373.67,40145.72,43065.95,1349.07,1248.67,1339.5,0.06119029639418527
2019-08-12,45447.61,42597.25,43269.24,1413.58,1324.92,1345.82,0.04781812656126072
2019-09-11,44837.39,43085.91,43627.14,1394.6,1340.12,1356.96,-0.013426901908629163
2019-10-11,43951.3,42444.97,42574.88,1367.04,1320.19,1324.23,-0.01976193890721345
2019-11-10,43084.94,42197.05,42460.56,1340.09,1312.47,1320.67,-0.019714126872659166
2019-12-10,46404.65,42036.18,45073.25,1443.35,1307.47,1401.93,0.07705452618853958
2020-01-09,46289.33,44345.4,46112.79,1439.76,1379.3,1434.27,-0.0024872692001246532
2020-02-08,50184.91,45744.72,47995.13,1560.93,1422.82,1492.82,0.08415985997666287
2020-03-09,49784.44,41848.68,48652.11,1548.47,1301.64,1513.25,-0.00798242073635591
2020-04-08,51857.67,48552.43,50861.3,1612.95,1510.15,1581.96,0.041641103799234136
2020-05-08,52508.55,47502.32,47988.29,1633.2,1477.49,1492.6,0.012554635915558388
2020-06-07,51310.12,47733.22,50755.59,1595.92,1484.67,1578.68,-0.022826353171687463
2020-07-07,55550.25,50562.93,55150.48,1727.81,1572.68,1715.37,0.08264198706702075
