open_time,close,open,high,low,ignored,ret
2002-02-03,1096.2,1118.0,1122.2,1077.8,"-2,32%",-0.014403653609695977
2002-02-10,1104.2,1095.4,1124.7,1094.7,"0,73%",0.0022277668864729705
2002-02-17,1089.8,1102.2,1102.2,1074.4,"-1,30%",-0.02000533475593491
2002-02-24,1131.8,1090.8,1131.8,1089.8,"3,85%",0.026855380148793184
2002-03-03,1164.3,1130.9,1172.8,1130.9,"2,87%",0.036225481533839865
2002-03-10,1166.2,1164.0,1173.0,1151.0,"0,16%",0.00017053206002737298
2002-03-17,1148.7,1166.2,1173.9,1139.9,"-1,50%",0.0007672634271100875
2002-03-24,1147.4,1149.3,1154.5,1131.6,"-0,11%",-0.016526109549365398
2002-03-31,1122.7,1146.0,1147.8,1119.5,"-2,15%",-0.005803378085751487
2002-04-07,1111.0,1122.7,1131.8,1102.4,"-1,04%",-0.013939710751001866
2002-04-14,1125.2,1111.0,1132.9,1099.4,"1,28%",0.0009719031631032493
2002-04-21,1076.3,1125.2,1125.2,1076.3,"-4,35%",-0.006796716391561541
2002-04-28,1073.4,1076.3,1091.4,1063.5,"-0,27%",-0.030039104159260588
2002-05-05,1055.0,1073.4,1088.9,1049.0,"-1,71%",-0.002290635880520475
2002-05-12,1106.6,1055.0,1106.6,1053.9,"4,89%",0.016254936174120438
2002-05-19,1083.8,1106.6,1106.6,1075.6,"-2,06%",0.0
2002-05-26,1067.1,1083.8,1086.0,1054.3,"-1,54%",-0.01861557925176205
2002-06-02,1027.5,1067.1,1070.7,1012.5,"-3,71%",-0.014088397790055218
2002-06-09,1007.3,1027.5,1039.0,981.6,"-1,97%",-0.02960679929018406
2002-06-16,989.1,1007.3,1040.8,985.6,"-1,81%",0.0017324350336862526
2002-06-23,989.8,989.1,1005.9,952.9,"0,07%",-0.03353189853958494
2002-06-30,989.0,989.8,994.5,934.9,"-0,08%",-0.011333134506412157
2002-07-07,921.4,989.0,993.6,900.9,"-6,84%",-0.0009049773755656076
2002-07-14,847.8,921.4,926.5,842.1,"-7,99%",-0.06753220611916266
2002-07-21,852.8,847.8,854.1,775.7,"0,59%",-0.078143550998381
2002-07-28,864.2,852.8,911.6,852.8,"1,34%",0.06732232759630019
2002-08-04,908.6,864.2,914.0,833.4,"5,14%",0.002632733655111963
2002-08-11,928.8,908.6,935.4,876.2,"2,22%",0.02341356673960604
2002-08-18,940.9,928.8,965.0,927.2,"1,30%",0.031644216378020174
2002-08-25,916.1,940.9,955.8,903.3,"-2,64%",-0.009533678756476704
2002-09-01,893.9,916.1,916.1,870.5,"-2,42%",-0.041535886168654446
2002-09-08,889.8,893.9,924.0,877.0,"-0,46%",0.008623512716952275
2002-09-15,845.4,889.8,902.7,839.1,"-4,99%",-0.02305194805194799
2002-09-22,827.4,845.4,856.6,817.4,"-2,13%",-0.051069015176692156
