"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 05-May-2015",35457.62,33387.31,33853.64,,1102.86,1038.46,1052.97,
"00:00:00 05-Apr-2015",36745.57,33431.02,34274.40,,1142.91,1039.82,1066.05,
"00:00:00 06-Mar-2015",36064.47,34252.98,35250.10,,1121.73,1065.39,1096.40,
"00:00:00 04-Feb-2015",36233.66,33767.72,34980.18,,1126.99,1050.29,1088.01,
"00:00:00 05-Jan-2015",37554.14,31814.75,35401.46,,1168.06,989.55,1101.11,
"00:00:00 06-Dec-2014",32129.99,30526.63,31853.34,,999.35,949.48,990.75,
"00:00:00 06-Nov-2014",31705.35,29466.75,31199.68,,986.15,916.52,970.42,
"00:00:00 07-Oct-2014",31672.00,29318.20,29466.75,,985.11,911.90,916.52,
"00:00:00 07-Sep-2014",31604.17,30256.99,30683.06,,983.00,941.10,954.35,
"00:00:00 08-Aug-2014",31780.59,30839.90,31498.44,,988.49,959.23,979.71,
"00:00:00 09-Jul-2014",31773.49,30635.46,31562.01,,988.27,952.87,981.69,
"00:00:00 09-Jun-2014",31364.92,29494.58,31124.04,,975.56,917.38,968.07,
"00:00:00 10-May-2014",30746.99,29274.95,29545.86,,956.34,910.55,918.98,
"00:00:00 10-Apr-2014",30976.27,29519.60,30118.23,,963.47,918.16,936.78,
"00:00:00 11-Mar-2014",32191.43,29784.16,30432.22,,1001.27,926.39,946.55,
"00:00:00 09-Feb-2014",31676.40,29856.92,31060.49,,985.25,928.65,966.09,
"00:00:00 10-Jan-2014",30231.06,29010.40,29882.31,,940.29,902.32,929.44,
"00:00:00 11-Dec-2013",29494.65,27615.96,29042.17,,917.39,858.95,903.31,
"00:00:00 11-Nov-2013",31015.90,28618.22,29463.40,,964.70,890.13,916.41,
"00:00:00 12-Oct-2013",31887.01,29808.81,31015.90,,991.80,927.16,964.70,
"00:00:00 12-Sep-2013",32976.67,29942.45,30231.84,,1025.69,931.31,940.32,
"00:00:00 13-Aug-2013",34570.72,31916.32,32968.54,,1075.27,992.71,1025.44,
"00:00:00 14-Jul-2013",32783.43,30796.31,32251.25,,1019.68,957.87,1003.13,
"00:00:00 14-Jun-2013",33597.74,29139.82,31654.63,,1045.01,906.35,984.57,
"00:00:00 15-May-2013",35558.72,33087.24,33360.33,,1106.00,1029.13,1037.62,
"00:00:00 15-Apr-2013",36716.35,32583.29,35550.63,,1142.01,1013.45,1105.75,
"00:00:00 16-Mar-2013",40532.01,36279.21,36586.77,,1260.69,1128.41,1137.98,
"00:00:00 14-Feb-2013",39868.18,37693.50,39152.18,,1240.04,1172.40,1217.77,
"00:00:00 15-Jan-2013",40999.80,39145.83,39298.37,,1275.24,1217.57,1222.32,
"00:00:00 16-Dec-2012",41599.79,39785.48,40103.34,,1293.90,1237.47,1247.35,
"00:00:00 16-Nov-2012",43625.32,41391.66,41432.00,,1356.90,1287.42,1288.68,
"00:00:00 17-Oct-2012",43959.78,41934.57,43158.94,,1367.30,1304.31,1342.39,
"00:00:00 17-Sep-2012",44583.04,42860.70,42925.41,,1386.69,1333.12,1335.13,
"00:00:00 18-Aug-2012",44000.05,42018.70,43510.11,,1368.55,1306.93,1353.32,
"00:00:00 19-Jul-2012",42629.35,41173.64,42124.89,,1325.92,1280.64,1310.23,
"00:00:00 19-Jun-2012",41929.10,39859.67,41223.55,,1304.14,1239.77,1282.20,
"00:00:00 20-May-2012",42290.29,39254.77,41562.76,,1315.38,1220.96,1292.75,
"00:00:00 20-Apr-2012",40683.07,38704.42,40070.14,,1265.38,1203.84,1246.32,
"00:00:00 21-Mar-2012",41063.72,39502.19,40165.61,,1277.22,1228.66,1249.29,
"00:00:00 20-Feb-2012",43201.20,39997.13,40077.42,,1343.71,1244.05,1246.55,
"00:00:00 21-Jan-2012",43098.26,40965.54,42143.89,,1340.51,1274.17,1310.82,
"00:00:00 22-Dec-2011",42006.79,38041.52,41444.71,,1306.56,1183.22,1289.07,
"00:00:00 22-Nov-2011",42053.31,38657.03,39777.84,,1308.00,1202.37,1237.23,
"00:00:00 23-Oct-2011",42489.04,37976.31,40029.17,,1321.56,1181.20,1245.05,
"00:00:00 23-Sep-2011",41725.73,36934.86,37989.54,,1297.82,1148.80,1181.61,
"00:00:00 24-Aug-2011",44204.02,37975.43,41473.85,,1374.90,1181.17,1289.98,
"00:00:00 25-Jul-2011",42793.93,35681.29,40921.80,,1331.04,1109.81,1272.81,
"00:00:00 25-Jun-2011",36808.84,32837.10,36176.57,,1144.88,1021.35,1125.22,
"00:00:00 26-May-2011",34948.50,33655.38,34034.11,,1087.02,1046.80,1058.58,
"00:00:00 26-Apr-2011",34994.82,32381.32,34883.16,,1088.46,1007.17,1084.99,
"00:00:00 27-Mar-2011",33829.60,32149.78,33295.92,,1052.22,999.97,1035.62,
"00:00:00 25-Feb-2011",33504.35,32003.50,32636.80,,1042.10,995.42,1015.12,
"00:00:00 26-Jan-2011",33339.46,30680.15,32662.00,,1036.97,954.26,1015.90,
"00:00:00 27-Dec-2010",34586.35,31207.70,31309.87,,1075.76,970.67,973.85,
"00:00:00 27-Nov-2010",34487.45,32929.57,33781.44,,1072.68,1024.22,1050.72,
"00:00:00 28-Oct-2010",33288.85,30436.69,33123.69,,1035.40,946.69,1030.26,
"00:00:00 28-Sep-2010",31676.79,30394.27,30959.54,,985.26,945.37,962.95,
"00:00:00 29-Aug-2010",31997.20,30857.90,30949.10,,995.22,959.79,962.62,
"00:00:00 30-Jul-2010",31575.99,28688.83,31198.68,,982.12,892.32,970.39,
"00:00:00 30-Jun-2010",32855.89,28500.83,28740.61,,1021.93,886.47,893.93,
"00:00:00 31-May-2010",33802.64,31575.71,32742.56,,1051.38,982.11,1018.41,
"00:00:00 01-May-2010",32595.42,28382.44,31684.25,,1013.83,882.79,985.49,
"00:00:00 01-Apr-2010",28759.50,26444.08,28525.91,,894.52,822.50,887.25,
"00:00:00 02-Mar-2010",26959.51,25703.48,26461.06,,838.53,799.47,823.03,
"00:00:00 31-Jan-2010",26711.83,24720.10,26515.75,,830.83,768.88,824.73,
"00:00:00 01-Jan-2010",25785.21,24591.01,25073.17,,802.01,764.87,779.86,
"00:00:00 02-Dec-2009",26133.62,24300.08,24628.32,,812.85,755.82,766.03,
"00:00:00 02-Nov-2009",25603.67,22734.67,25497.12,,796.36,707.13,793.05,
"00:00:00 03-Oct-2009",23169.99,22055.67,22800.45,,720.67,686.01,709.17,
"00:00:00 03-Sep-2009",22480.26,21636.59,22114.69,,699.21,672.97,687.84,
"00:00:00 04-Aug-2009",22100.22,21137.81,22003.86,,687.39,657.46,684.40,
"00:00:00 05-Jul-2009",21623.96,20886.92,21333.01,,672.58,649.66,663.53,
"00:00:00 05-Jun-2009",22222.77,21056.40,21445.10,,691.21,654.93,667.02,
"00:00:00 06-May-2009",22419.15,21508.02,22199.46,,697.31,668.97,690.48,
"00:00:00 06-Apr-2009",22443.59,20709.78,21692.85,,698.07,644.15,674.72,
"00:00:00 07-Mar-2009",24071.20,21161.10,21194.97,,748.70,658.18,659.24,
"00:00:00 05-Feb-2009",25517.62,21941.85,23860.68,,793.69,682.47,742.15,
"00:00:00 06-Jan-2009",23395.70,19592.47,22651.19,,727.69,609.39,704.53,
"00:00:00 07-Dec-2008",20432.25,18962.13,20201.05,,635.51,589.79,628.32,
"00:00:00 07-Nov-2008",20816.35,18074.03,19121.92,,647.46,562.17,594.76,
"00:00:00 08-Oct-2008",22032.01,17504.96,18561.59,,685.27,544.47,577.33,
"00:00:00 08-Sep-2008",21112.11,17020.67,21063.20,,656.66,529.40,655.14,
"00:00:00 09-Aug-2008",18548.44,16938.27,18201.54,,576.92,526.84,566.13,
"00:00:00 10-Jul-2008",19894.41,18151.81,18350.64,,618.79,564.58,570.77,
"00:00:00 10-Jun-2008",19265.59,17916.48,18982.74,,599.23,557.26,590.43,
"00:00:00 11-May-2008",19056.28,17904.83,18358.51,,592.72,556.90,571.01,
"00:00:00 11-Apr-2008",19200.61,17514.21,18380.03,,597.21,544.75,571.68,
"00:00:00 12-Mar-2008",20973.85,18049.04,18942.42,,652.36,561.39,589.18,
"00:00:00 11-Feb-2008",21129.29,19436.32,20384.98,,657.19,604.54,634.04,
"00:00:00 12-Jan-2008",20458.29,18983.57,20374.68,,636.32,590.46,633.72,
"00:00:00 13-Dec-2007",19520.43,17484.44,19491.13,,607.15,543.83,606.24,
"00:00:00 13-Nov-2007",18107.99,16962.21,17742.17,,563.22,527.58,551.84,
"00:00:00 14-Oct-2007",18524.30,16935.64,17522.68,,576.17,526.76,545.02,
"00:00:00 14-Sep-2007",17038.99,16312.04,17012.63,,529.97,507.36,529.15,
"00:00:00 15-Aug-2007",16631.51,15443.29,16381.17,,517.30,480.34,509.51,
"00:00:00 16-Jul-2007",15962.05,15442.64,15919.96,,496.48,480.32,495.17,
"00:00:00 16-Jun-2007",15879.80,15300.67,15568.10,,493.92,475.90,484.22,
"00:00:00 17-May-2007",16078.19,15527.22,15747.95,,500.09,482.95,489.82,
"00:00:00 17-Apr-2007",16430.03,15715.38,15756.99,,511.03,488.80,490.10,
